Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
239,"J Kubelka, TK Chiu, DR Davies, WA Eaton…",Sub-microsecond protein folding,2006,Journal of molecular …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022283606003706,"https://scholar.google.com/scholar?cites=14245102236908445526&as_sdt=2005&sciodt=0,5&hl=en",17,22/11/2019 18:45,,,,,,,,,239,18.38,48,5,13
146,"P Faccioli, M Sega, F Pederiva, H Orland",Dominant pathways in protein folding,2006,Physical review letters,APS,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.97.108101,"https://scholar.google.com/scholar?cites=13564964482316221902&as_sdt=2005&sciodt=0,5&hl=en",18,22/11/2019 18:45,,,,,,,,,146,11.23,37,4,13
96,"J Mittal, RB Best",Tackling force-field bias in protein folding simulations: folding of Villin HP35 and Pin WW domains in explicit water,2010,Biophysical journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006349510006028,"https://scholar.google.com/scholar?cites=9094441989719236162&as_sdt=2005&sciodt=0,5&hl=en",19,22/11/2019 18:45,HTML,,,,,,,,96,10.67,48,2,9
334,"CK Chan, Y Hu, S Takahashi…",Submillisecond protein folding kinetics studied by ultrarapid mixing,1997,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/94/5/1779.short,"https://scholar.google.com/scholar?cites=14379230516790794883&as_sdt=2005&sciodt=0,5&hl=en",20,22/11/2019 18:45,,,,,,,,,334,15.18,84,4,22
528,CA Royer,Probing protein folding and conformational transitions with fluorescence,2006,Chemical reviews,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/cr0404390,"https://scholar.google.com/scholar?cites=10779513371716563249&as_sdt=2005&sciodt=0,5&hl=en",21,22/11/2019 18:45,,,,,,,,,528,40.62,528,1,13
79,"K Ghosh, SB Ozkan, KA Dill",The ultimate speed limit to protein folding is conformational searching,2007,Journal of the American Chemical …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja066785b,"https://scholar.google.com/scholar?cites=3736657841575161821&as_sdt=2005&sciodt=0,5&hl=en",22,22/11/2019 18:45,,,,,,,,,79,6.58,26,3,12
340,"A Cooper, CM Johnson, JH Lakey, M Nöllmann","Heat does not come in different colours: entropy–enthalpy compensation, free energy windows, quantum confinement, pressure perturbation calorimetry, solvation …",2001,Biophysical chemistry,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301462201002228,"https://scholar.google.com/scholar?cites=17749978220296449044&as_sdt=2005&sciodt=0,5&hl=en",23,22/11/2019 18:45,,,,,,,,,340,18.89,85,4,18
172,B Schuler,Single‐molecule fluorescence spectroscopy of protein folding,2005,ChemPhysChem,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/cphc.200400609,"https://scholar.google.com/scholar?cites=15148752581512751572&as_sdt=2005&sciodt=0,5&hl=en",24,22/11/2019 18:45,,,,,,,,,172,12.29,172,1,14
109,"H Feng, Z Zhou, Y Bai",A protein folding pathway with multiple folding intermediates at atomic resolution,2005,Proceedings of the National …,National Acad Sciences,https://www.pnas.org/content/102/14/5026.short,"https://scholar.google.com/scholar?cites=228249665757212704&as_sdt=2005&sciodt=0,5&hl=en",25,22/11/2019 18:45,,,,,,,,,109,7.79,36,3,14
328,"IL Medintz, JH Konnert, AR Clapp…",A fluorescence resonance energy transfer-derived structure of a quantum dot-protein bioconjugate nanoassembly,2004,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/101/26/9612/,"https://scholar.google.com/scholar?cites=8159776012455961923&as_sdt=2005&sciodt=0,5&hl=en",26,22/11/2019 18:45,,,,,,,,,328,21.87,82,4,15
109,"O Tcherkasskaya, VN Uversky",Denatured collapsed states in protein folding: example of apomyoglobin,2001,"Proteins: Structure, Function …",Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/prot.1089,"https://scholar.google.com/scholar?cites=58283805365337242&as_sdt=2005&sciodt=0,5&hl=en",27,22/11/2019 18:45,,,,,,,,,109,6.06,55,2,18
326,"GJ Kremers, J Goedhart, EB van Munster…","Cyan and Yellow Super Fluorescent Proteins with Improved Brightness, Protein Folding, and FRET Förster Radius,",2006,Biochemistry,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/bi0516273,"https://scholar.google.com/scholar?cites=12800224148252750878&as_sdt=2005&sciodt=0,5&hl=en",28,22/11/2019 18:45,,,,,,,,,326,25.08,82,4,13
51,"JC Faver, ML Benson, X He, BP Roberts, B Wang…",The energy computation paradox and ab initio protein folding,2011,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0018868,"https://scholar.google.com/scholar?cites=3862141620732658282&as_sdt=2005&sciodt=0,5&hl=en",29,22/11/2019 18:45,HTML,,,,,,,,51,6.38,9,6,8
16,L Luo,Conformation‐transitional rate in protein folding,1995,International Journal of Quantum Chemistry,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/qua.560540407,"https://scholar.google.com/scholar?cites=9309285437462363976&as_sdt=2005&sciodt=0,5&hl=en",30,22/11/2019 18:45,,,,,,,,,16,0.67,16,1,24
953,"KA Dill, JL MacCallum","The protein-folding problem, 50 years on",2012,science,science.sciencemag.org,https://science.sciencemag.org/content/338/6110/1042.short,"https://scholar.google.com/scholar?cites=11387781233263026476&as_sdt=2005&sciodt=0,5&hl=en",31,22/11/2019 18:45,,,,,,,,,953,136.14,477,2,7
8,"NH March, CC Matthai","The application of quantum chemistry and condensed matter theory in studying amino-acids, protein folding and anticancer drug technology",2010,Theoretical Chemistry Accounts,Springer,https://link.springer.com/article/10.1007/s00214-009-0558-4,"https://scholar.google.com/scholar?cites=6938394472537740909&as_sdt=2005&sciodt=0,5&hl=en",32,22/11/2019 18:45,,,,,,,,,8,0.89,4,2,9
37,"R Sarkar, SS Narayanan, LO Pålsson…",Direct conjugation of semiconductor nanocrystals to a globular protein to study protein-folding intermediates,2007,The Journal of …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/jp075239h,"https://scholar.google.com/scholar?cites=10786521954673232270&as_sdt=2005&sciodt=0,5&hl=en",33,22/11/2019 18:45,,,,,,,,,37,3.08,9,4,12
1031,"V Munoz, PA Thompson, J Hofrichter, WA Eaton",Folding dynamics and mechanism of β-hairpin formation,1997,Nature,nature.com,https://www.nature.com/articles/36626,"https://scholar.google.com/scholar?cites=16484881469241462777&as_sdt=2005&sciodt=0,5&hl=en",34,22/11/2019 18:45,,,,,,,,,1031,46.86,258,4,22
301,C Clementi,Coarse-grained models of protein folding: toy models or predictive tools?,2008,Current opinion in structural biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0959440X07001753,"https://scholar.google.com/scholar?cites=11577150460250645071&as_sdt=2005&sciodt=0,5&hl=en",35,22/11/2019 18:45,,,,,,,,,301,27.36,301,1,11
64,"X He, L Fusti-Molnar, G Cui…",Importance of dispersion and electron correlation in ab initio protein folding,2009,The Journal of Physical …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/jp8106952,"https://scholar.google.com/scholar?cites=4891987889414920944&as_sdt=2005&sciodt=0,5&hl=en",36,22/11/2019 18:45,,,,,,,,,64,6.4,16,4,10
83,V Muñoz,Thermodynamics and kinetics of downhill protein folding investigated with a simple statistical mechanical model,2002,International journal of quantum chemistry,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/qua.10384,"https://scholar.google.com/scholar?cites=5388298516409509901&as_sdt=2005&sciodt=0,5&hl=en",37,22/11/2019 18:45,,,,,,,,,83,4.88,83,1,17
283,"J Kubelka, WA Eaton, J Hofrichter",Experimental tests of villin subdomain folding simulations,2003,Journal of molecular biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022283603005199,"https://scholar.google.com/scholar?cites=8354560263409578623&as_sdt=2005&sciodt=0,5&hl=en",38,22/11/2019 18:45,,,,,,,,,283,17.69,94,3,16
109,"A Dhar, K Girdhar, D Singh, H Gelman, S Ebbinghaus…",Protein stability and folding kinetics in the nucleus and endoplasmic reticulum of eucaryotic cells,2011,Biophysical journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006349511007168,"https://scholar.google.com/scholar?cites=16993153465155547146&as_sdt=2005&sciodt=0,5&hl=en",39,22/11/2019 18:45,HTML,,,,,,,,109,13.63,18,6,8
1055,"JL Popot, DM Engelman",Membrane protein folding and oligomerization: the two-stage model,1990,Biochemistry,ACS Publications,https://pubs.acs.org/doi/full/10.1021/bi00469a001,"https://scholar.google.com/scholar?cites=1404827145055275864&as_sdt=2005&sciodt=0,5&hl=en",40,22/11/2019 18:45,,,,,,,,,1055,36.38,528,2,29
192,"PL Freddolino, S Park, B Roux, K Schulten",Force field bias in protein folding simulations,2009,Biophysical journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006349509005888,"https://scholar.google.com/scholar?cites=10802763385898273260&as_sdt=2005&sciodt=0,5&hl=en",41,22/11/2019 18:45,HTML,,,,,,,,192,19.2,48,4,10
1301,"GV Semisotnov, NA Rodionova…",Study of the “molten globule” intermediate state in protein folding by a hydrophobic fluorescent probe,1991,Biopolymers …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/bip.360310111,"https://scholar.google.com/scholar?cites=873731136123985766&as_sdt=2005&sciodt=0,5&hl=en",42,22/11/2019 18:45,,,,,,,,,1301,46.46,434,3,28
924,"B Schuler, EA Lipman, WA Eaton",Probing the free-energy surface for protein folding with single-molecule fluorescence spectroscopy,2002,Nature,nature.com,https://www.nature.com/articles/nature01060,"https://scholar.google.com/scholar?cites=13070787062715858541&as_sdt=2005&sciodt=0,5&hl=en",43,22/11/2019 18:45,,,,,,,,,924,54.35,308,3,17
952,"GH Patterson, SM Knobel, WD Sharif, SR Kain…",Use of the green fluorescent protein and its mutants in quantitative fluorescence microscopy,1997,Biophysical journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006349597783073,"https://scholar.google.com/scholar?cites=15435316622521704602&as_sdt=2005&sciodt=0,5&hl=en",44,22/11/2019 18:45,,,,,,,,,952,43.27,190,5,22
30,"W Li, J Wang, J Zhang, W Wang",Molecular simulations of metal-coupled protein folding,2015,Current opinion in structural biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0959440X14001511,"https://scholar.google.com/scholar?cites=15723658180006587901&as_sdt=2005&sciodt=0,5&hl=en",45,22/11/2019 18:45,HTML,,,,,,,,30,7.5,8,4,4
9,"F Polotto, E Drigo Filho, J Chahine…",Supersymmetric quantum mechanics method for the Fokker–Planck equation with applications to protein folding dynamics,2018,Physica A: Statistical …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378437117310312,"https://scholar.google.com/scholar?cites=7898110139111535094&as_sdt=2005&sciodt=0,5&hl=en",46,22/11/2019 18:45,,,,,,,,,9,9,2,4,1
13,NA Besley,Computing protein infrared spectroscopy with quantum chemistry,2007,… Transactions of the Royal Society A …,royalsocietypublishing.org,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2007.0018,"https://scholar.google.com/scholar?cites=14310873664104428024&as_sdt=2005&sciodt=0,5&hl=en",47,22/11/2019 18:45,,,,,,,,,13,1.08,13,1,12
93,"Y Mei, C Ji, JZH Zhang",A new quantum method for electrostatic solvation energy of protein,2006,The Journal of chemical physics,aip.scitation.org,https://aip.scitation.org/doi/abs/10.1063/1.2345201,"https://scholar.google.com/scholar?cites=7792797389195215071&as_sdt=2005&sciodt=0,5&hl=en",48,22/11/2019 18:45,,,,,,,,,93,7.15,31,3,13
446,"D Yang, LE Kay",Contributions to conformational entropy arising from bond vector fluctuations measured from NMR-derived order parameters: application to protein folding,1996,Journal of molecular biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022283696905811,"https://scholar.google.com/scholar?cites=18120789062244596041&as_sdt=2005&sciodt=0,5&hl=en",49,22/11/2019 18:45,,,,,,,,,446,19.39,223,2,23
115,"SJ Miyake-Stoner, AM Miller, JT Hammill, JC Peeler…",Probing protein folding using site-specifically encoded unnatural amino acids as FRET donors with tryptophan,2009,Biochemistry,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/bi900426d,"https://scholar.google.com/scholar?cites=11344183226042373975&as_sdt=2005&sciodt=0,5&hl=en",50,22/11/2019 18:45,,,,,,,,,115,11.5,23,5,10
5,L Luo,Protein folding as a quantum transition between conformational states: Basic formulas and applications,2010,arXiv preprint arXiv:1008.0237,arxiv.org,https://arxiv.org/abs/1008.0237,"https://scholar.google.com/scholar?cites=12931718405403453784&as_sdt=2005&sciodt=0,5&hl=en",51,22/11/2019 18:45,,,,,,,,,5,0.56,5,1,9
182,"S Chowdhury, MC Lee, G Xiong, Y Duan",Ab initio folding simulation of the Trp-cage mini-protein approaches NMR resolution,2003,Journal of molecular biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022283603001773,"https://scholar.google.com/scholar?cites=15436686836499350582&as_sdt=2005&sciodt=0,5&hl=en",52,22/11/2019 18:45,,,,,,,,,182,11.38,46,4,16
113,"JR Banavar, A Maritan",Colloquium: Geometrical approach to protein folding: a tube picture,2003,Reviews of Modern Physics,APS,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.75.23,"https://scholar.google.com/scholar?cites=10073206658936253918&as_sdt=2005&sciodt=0,5&hl=en",53,22/11/2019 18:45,,,,,,,,,113,7.06,57,2,16
448,"S Piana, A Laio",A bias-exchange approach to protein folding,2007,The journal of physical chemistry B,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/jp067873l,"https://scholar.google.com/scholar?cites=5611287468043025646&as_sdt=2005&sciodt=0,5&hl=en",54,22/11/2019 18:45,,,,,,,,,448,37.33,224,2,12
153,"T Cellmer, ER Henry, J Hofrichter…",Measuring internal friction of an ultrafast-folding protein,2008,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/105/47/18320.short,"https://scholar.google.com/scholar?cites=14182535205451565080&as_sdt=2005&sciodt=0,5&hl=en",55,22/11/2019 18:45,,,,,,,,,153,13.91,38,4,11
292,"P Neudecker, P Robustelli, A Cavalli, P Walsh…",Structure of an intermediate state in protein folding and aggregation,2012,…,science.sciencemag.org,https://science.sciencemag.org/content/336/6079/362.short,"https://scholar.google.com/scholar?cites=15141746387649368115&as_sdt=2005&sciodt=0,5&hl=en",56,22/11/2019 18:45,,,,,,,,,292,41.71,58,5,7
67,"M Zeeb, H Rösner, W Zeslawski, D Canet…",Protein folding and stability of human CDK inhibitor p19INK4d,2002,Journal of molecular …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022283601952428,"https://scholar.google.com/scholar?cites=2827069783713889438&as_sdt=2005&sciodt=0,5&hl=en",57,22/11/2019 18:45,,,,,,,,,67,3.94,13,5,17
186,PCW Davies,Does quantum mechanics play a non-trivial role in life?,2004,Biosystems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0303264704001182,"https://scholar.google.com/scholar?cites=6622394960016817870&as_sdt=2005&sciodt=0,5&hl=en",58,22/11/2019 18:45,,,,,,,,,186,12.4,186,1,15
26,"I Daidone, M Aschi, L Zanetti-Polzi, A Di Nola…",On the origin of IR spectral changes upon protein folding,2010,Chemical Physics …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0009261410001910,"https://scholar.google.com/scholar?cites=3979610744640199085&as_sdt=2005&sciodt=0,5&hl=en",59,22/11/2019 18:45,,,,,,,,,26,2.89,5,5,9
523,"K Lindorff-Larsen, P Maragakis, S Piana…",Systematic validation of protein force fields against experimental data,2012,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0032131,"https://scholar.google.com/scholar?cites=14084059344839822790&as_sdt=2005&sciodt=0,5&hl=en",60,22/11/2019 18:45,HTML,,,,,,,,523,74.71,131,4,7
2923,"AD Mackerell Jr, M Feig…",… the treatment of backbone energetics in protein force fields: limitations of gas‐phase quantum mechanics in reproducing protein conformational distributions in …,2004,Journal of computational …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcc.20065,"https://scholar.google.com/scholar?cites=9747251837704017604&as_sdt=2005&sciodt=0,5&hl=en",61,22/11/2019 18:45,,,,,,,,,2923,194.87,974,3,15
4,Y Fang,A Gibbs free energy formula for protein folding derived from quantum statistics,2014,"Science China Physics, Mechanics & Astronomy",Springer,https://link.springer.com/article/10.1007/s11433-013-5288-x,"https://scholar.google.com/scholar?cites=9295311196665942607&as_sdt=2005&sciodt=0,5&hl=en",62,22/11/2019 18:45,,,,,,,,,4,0.8,4,1,5
125,"R Das, I André, Y Shen, Y Wu…",Simultaneous prediction of protein folding and docking at high resolution,2009,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/106/45/18978.short,"https://scholar.google.com/scholar?cites=17974142573248640790&as_sdt=2005&sciodt=0,5&hl=en",63,22/11/2019 18:45,,,,,,,,,125,12.5,25,5,10
55,"ZZ Fan, JK Hwang, A Warshel",Using simplified protein representation as a reference potential for all-atom calculations of folding free energy,1999,Theoretical Chemistry Accounts,Springer,https://link.springer.com/article/10.1007/s002140050516,"https://scholar.google.com/scholar?cites=7479752345233278123&as_sdt=2005&sciodt=0,5&hl=en",64,22/11/2019 18:45,,,,,,,,,55,2.75,18,3,20
38,"T Cellmer, ER Henry, J Kubelka…",Relaxation rate for an ultrafast folding protein is independent of chemical denaturant concentration,2007,Journal of the …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja0761939,"https://scholar.google.com/scholar?cites=15513212048687655503&as_sdt=2005&sciodt=0,5&hl=en",65,22/11/2019 18:45,,,,,,,,,38,3.17,10,4,12
14,UHE Hansmann,Protein‐folding simulations in generalized ensembles,2002,International journal of quantum chemistry,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/qua.10352,"https://scholar.google.com/scholar?cites=11168567491632610658&as_sdt=2005&sciodt=0,5&hl=en",66,22/11/2019 18:45,,,,,,,,,14,0.82,14,1,17
164,"N Kobko, L Paraskevas, E del Rio…",Cooperativity in amide hydrogen bonding chains: implications for protein-folding models,2001,Journal of the …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja004271l,"https://scholar.google.com/scholar?cites=11235452098784598496&as_sdt=2005&sciodt=0,5&hl=en",67,22/11/2019 18:45,,,,,,,,,164,9.11,41,4,18
47,B Schuler,Application of single molecule Förster resonance energy transfer to protein folding,2007,Protein Folding Protocols,Springer,https://link.springer.com/protocol/10.1385/1-59745-189-4:115,"https://scholar.google.com/scholar?cites=3464516861296772437&as_sdt=2005&sciodt=0,5&hl=en",68,22/11/2019 18:45,,,,,,,,,47,3.92,47,1,12
692,"K Kim, MS Chang, S Korenblit, R Islam, EE Edwards…",Quantum simulation of frustrated Ising spins with trapped ions,2010,Nature,nature.com,https://www.nature.com/articles/nature09071,"https://scholar.google.com/scholar?cites=9835881411046138340&as_sdt=2005&sciodt=0,5&hl=en",69,22/11/2019 18:45,,,,,,,,,692,76.89,115,6,9
365,"PL Freddolino, F Liu, M Gruebele, K Schulten",Ten-microsecond molecular dynamics simulation of a fast-folding WW domain,2008,Biophysical journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006349508703746,"https://scholar.google.com/scholar?cites=6335301759122017480&as_sdt=2005&sciodt=0,5&hl=en",70,22/11/2019 18:45,HTML,,,,,,,,365,33.18,91,4,11
289,RL Baldwin,Energetics of protein folding,2007,Journal of molecular biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022283607007371,"https://scholar.google.com/scholar?cites=2066152450300559228&as_sdt=2005&sciodt=0,5&hl=en",71,22/11/2019 18:45,,,,,,,,,289,24.08,289,1,12
122,"VA Voelz, M Jäger, S Yao, Y Chen…",Slow unfolded-state structuring in Acyl-CoA binding protein folding revealed by simulation and experiment,2012,Journal of the …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja302528z,"https://scholar.google.com/scholar?cites=9141375694308960339&as_sdt=2005&sciodt=0,5&hl=en",72,22/11/2019 18:45,,,,,,,,,122,17.43,24,5,7
270,"AV Morozov, T Kortemme…",Close agreement between the orientation dependence of hydrogen bonds observed in protein structures and quantum mechanical calculations,2004,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/101/18/6946.short,"https://scholar.google.com/scholar?cites=601438207796713186&as_sdt=2005&sciodt=0,5&hl=en",73,22/11/2019 18:45,,,,,,,,,270,18,90,3,15
149,"WE Hart, S Istrail",Robust proofs of NP-hardness for protein folding: general lattices and energy potentials,1997,Journal of Computational Biology,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cmb.1997.4.1,"https://scholar.google.com/scholar?cites=17505017722232514262&as_sdt=2005&sciodt=0,5&hl=en",74,22/11/2019 18:45,,,,,,,,,149,6.77,75,2,22
57,"A Perdomo, C Truncik, I Tubert-Brohman, G Rose…",Construction of model Hamiltonians for adiabatic quantum computation and its application to finding low-energy conformations of lattice protein models,2008,Physical Review A,APS,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.78.012320,"https://scholar.google.com/scholar?cites=518885351975232769&as_sdt=2005&sciodt=0,5&hl=en",75,22/11/2019 18:45,,,,,,,,,57,5.18,11,5,11
209,"M Sadqi, LJ Lapidus, V Muñoz",How fast is protein hydrophobic collapse?,2003,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/100/21/12117.short,"https://scholar.google.com/scholar?cites=7045770298092525177&as_sdt=2005&sciodt=0,5&hl=en",76,22/11/2019 18:45,,,,,,,,,209,13.06,70,3,16
54,"T Cellmer, M Buscaglia, ER Henry…",Making connections between ultrafast protein folding kinetics and molecular dynamics simulations,2011,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/108/15/6103.short,"https://scholar.google.com/scholar?cites=16302313537705153732&as_sdt=2005&sciodt=0,5&hl=en",77,22/11/2019 18:45,,,,,,,,,54,6.75,14,4,8
90,"SM Freund, KB Wong…",Initiation sites of protein folding by NMR analysis,1996,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/93/20/10600.short,"https://scholar.google.com/scholar?cites=10380170770403764364&as_sdt=2005&sciodt=0,5&hl=en",78,22/11/2019 18:45,,,,,,,,,90,3.91,30,3,23
